dtg,mac,rssi,ssid,oui,count
"2015-09-15 15:55:00.887204",dc:9b:9c:40:66:7e,-59,nyu,Apple,
"2015-09-15 15:55:02.819921",74:5c:9f:b1:ac:97,-77,<None>,"TCT mobile ltd.",
"2015-09-15 15:55:13.861482",60:af:6d:8d:95:c3,-81,<None>,"Samsung Electronics Co.,Ltd",
"2015-09-15 15:55:18.444136",f0:db:f8:eb:70:a0,-77,<None>,Apple,
"2015-09-15 15:55:29.892055",f8:95:c7:d3:31:cf,-77,<None>,"LG Electronics (Mobile Communications)",
"2015-09-15 15:55:30.445207",0a:8f:16:7f:59:9e,-77,"Bolt Bus","Admin OUI",
"2015-09-15 15:55:34.430396",86:bd:23:26:83:2a,-71,<None>,"Admin OUI",
"2015-09-15 15:55:37.610941",c0:ee:fb:5a:15:5c,-79,<None>,"OnePlus Tech (Shenzhen) Ltd",
"2015-09-15 15:56:00.183202",94:01:c2:31:b4:8c,-81,DNB,"Samsung Electronics Co.,Ltd",
"2015-09-15 15:56:01.150591",30:f3:1d:5f:d1:40,-75,nyu,"zte corporation",
"2015-09-15 15:56:02.777161",e8:50:8b:ce:eb:6d,-77,<None>,"Samsung Electro Mechanics co., LTD.",
"2015-09-15 15:56:05.350302",24:77:03:6f:04:80,-79,<None>,"Intel Corporate",
"2015-09-15 15:56:05.491045",24:77:03:6f:04:80,-77,TransCare,"Intel Corporate",
"2015-09-15 15:56:08.088491",5e:54:63:a9:b4:da,-73,<None>,"Admin OUI",
"2015-09-15 15:56:44.119852",a4:5e:60:7d:9c:9c,-79,<None>,Apple,
"2015-09-15 15:56:47.207695",6c:76:60:72:38:33,-77,<None>,"KYOCERA Corporation",
"2015-09-15 15:56:48.109137",a0:39:f7:53:10:e9,-73,<None>,"LG Electronics (Mobile Communications)",
"2015-09-15 15:56:48.899115",9c:fc:01:e6:50:59,-73,<None>,"Apple Inc",
"2015-09-15 15:56:48.959467",9c:fc:01:e6:50:59,-75,<None>,"Apple Inc",
"2015-09-15 15:56:52.275104",9c:fc:01:e6:50:59,-79,<None>,"Apple Inc",
"2015-09-15 15:56:54.305262",b8:44:d9:5f:87:2f,-61,<None>,Unknown,
"2015-09-15 15:56:58.103584",6c:76:60:72:38:33,-79,<None>,"KYOCERA Corporation",
"2015-09-15 15:57:01.921742",ac:5a:14:68:27:1a,-79,<None>,"Samsung Electronics Co.,Ltd",
"2015-09-15 15:57:03.776645",0c:48:85:9f:8c:df,-79,DowntownBrooklynWiFi_Fon,"LG Electronics",
"2015-09-15 15:57:04.422098",86:bd:23:26:83:2a,-63,<None>,"Admin OUI",
"2015-09-15 15:57:13.964374",5e:54:63:a9:b4:da,-69,<None>,"Admin OUI",
"2015-09-15 15:57:14.020839",5e:54:63:a9:b4:da,-67,<None>,"Admin OUI",
"2015-09-15 15:57:18.088818",40:78:6a:0d:e3:f7,-79,<None>,"Motorola Mobility LLC",
"2015-09-15 15:57:20.539359",d8:cf:9c:d7:ed:79,-75,<None>,Apple,
"2015-09-15 15:57:20.896839",d8:cf:9c:d7:ed:79,-75,ImpreMedia,Apple,
"2015-09-15 15:57:24.119011",58:94:6b:3c:03:48,-69,nyuguest,"Intel Corporate",
"2015-09-15 15:57:24.188343",58:94:6b:3c:03:48,-71,nyuguest,"Intel Corporate",
"2015-09-15 15:57:24.959378",58:94:6b:3c:03:48,-75,nyuguest,"Intel Corporate",
"2015-09-15 15:57:25.025870",58:94:6b:3c:03:48,-75,nyuguest,"Intel Corporate",
"2015-09-15 15:57:40.935910",d8:cf:9c:d7:ed:79,-77,ImpreMedia,Apple,
"2015-09-15 15:57:40.995525",d8:cf:9c:d7:ed:79,-75,ImpreMedia,Apple,
"2015-09-15 15:58:00.427268",38:94:96:2c:34:5e,-77,<None>,"Samsung Elec Co.,Ltd",
"2015-09-15 15:58:00.489720",dc:9b:9c:40:66:7e,-71,nyu,Apple,
"2015-09-15 15:58:03.913522",82:3e:1b:51:cb:f5,-77,<None>,"Admin OUI",
"2015-09-15 15:58:15.331579",48:86:e8:58:06:90,-77,<None>,Error,
"2015-09-15 15:58:20.618557",58:94:6b:3c:03:48,-77,nyu,"Intel Corporate",
"2015-09-15 15:58:20.673836",58:94:6b:3c:03:48,-77,nyu,"Intel Corporate",
"2015-09-15 15:58:20.934111",58:94:6b:3c:03:48,-75,nyu,"Intel Corporate",
