dtg,mac,rssi,ssid,oui
"2015-10-01 16:20:57.783602",00:1a:4d:3e:28:39,-83,<None>,"GIGA-BYTE TECHNOLOGY CO.,LTD."
"2015-10-01 16:20:58.183651",cc:3a:61:67:80:37,-79,<None>,"SAMSUNG ELECTRO MECHANICS CO., LTD."
"2015-10-01 16:21:03.229655",84:3a:4b:ca:d9:e0,-79,<None>,"Intel Corporate"
"2015-10-01 16:21:03.245762",84:3a:4b:ca:d9:e0,-81,<None>,"Intel Corporate"
"2015-10-01 16:21:04.525748",04:15:52:4e:29:1a,-69,<None>,Apple
"2015-10-01 16:21:04.546051",04:15:52:4e:29:1a,-69,<None>,Apple
"2015-10-01 16:21:04.564817",04:15:52:4e:29:1a,-67,<None>,Apple
"2015-10-01 16:32:31.418634",6c:88:14:3b:93:88,-75,<None>,"Intel Corporate"
"2015-10-01 16:32:31.461776",6c:88:14:3b:93:88,-75,nyuguest,"Intel Corporate"
"2015-10-01 16:32:31.480048",6c:88:14:3b:93:88,-77,<None>,"Intel Corporate"
"2015-10-01 16:32:38.345874",04:15:52:4e:7e:a2,-81,<None>,Apple
"2015-10-01 16:32:38.368160",04:15:52:4e:7e:a2,-81,<None>,Apple
"2015-10-01 16:32:47.023366",48:43:7c:75:95:38,-71,<None>,Apple
"2015-10-01 16:32:47.044615",48:43:7c:75:95:38,-75,<None>,Apple
"2015-10-01 16:32:49.275658",74:e5:43:0d:2f:c4,-71,<None>,"Liteon Technology Corporation"
"2015-10-01 16:32:49.296863",74:e5:43:0d:2f:c4,-79,<None>,"Liteon Technology Corporation"
"2015-10-01 16:32:50.410016",48:43:7c:75:95:38,-71,<None>,Apple
"2015-10-01 16:32:50.431961",48:43:7c:75:95:38,-73,<None>,Apple
"2015-10-01 16:32:50.471063",48:43:7c:75:95:38,-75,<None>,Apple
"2015-10-01 16:32:52.536798",d8:bb:2c:55:a2:f8,-81,TransCare,Apple
"2015-10-01 16:32:54.300032",48:43:7c:75:95:38,-71,<None>,Apple
"2015-10-01 16:32:55.855406",48:43:7c:75:95:38,-71,<None>,Apple
"2015-10-01 16:32:58.200277",48:43:7c:75:95:38,-75,<None>,Apple
"2015-10-01 16:32:58.221705",48:43:7c:75:95:38,-75,<None>,Apple
"2015-10-01 16:32:58.200277",48:43:7c:75:95:38,-75,<None>,Apple
"2015-10-01 16:32:58.297961",48:43:7c:75:95:38,-75,<None>,Apple
"2015-10-01 16:33:02.974570",90:b6:86:6f:c7:30,-81,<None>,"Murata Manufacturing Co., Ltd."
"2015-10-01 17:49:45.547967",38:48:4c:82:59:1d,-71,<None>,Apple
"2015-10-01 17:49:47.340889",ba:f3:a2:a1:03:79,-71,<None>,"Admin OUI"
"2015-10-01 17:49:52.355947",38:48:4c:82:59:1d,-81,<None>,Apple
"2015-10-01 17:49:56.068737",ba:f3:a2:a1:03:79,-73,<None>,"Admin OUI"
"2015-10-01 17:50:09.814668",ba:f3:a2:a1:03:79,-71,<None>,"Admin OUI"
"2015-10-01 17:50:10.844178",52:1b:81:c4:07:73,-79,<None>,"Admin OUI"
"2015-10-01 17:50:10.901294",52:1b:81:c4:07:73,-79,<None>,"Admin OUI"
"2015-10-01 17:50:18.815088",30:d6:c9:94:50:24,-81,<None>,"Samsung Electronics Co.,Ltd"
"2015-10-01 17:50:21.443468",f8:cf:c5:51:fc:f1,-87,<None>,"Motorola Mobility LLC, a Lenovo Company"
"2015-10-01 17:50:26.656292",52:1b:81:c4:07:73,-81,INTERNET,"Admin OUI"
"2015-10-01 17:50:26.673965",52:1b:81:c4:07:73,-79,BALoungeWiFi,"Admin OUI"
"2015-10-01 17:50:26.694201",52:1b:81:c4:07:73,-79,Chromecast6840,"Admin OUI"
"2015-10-01 17:50:26.715007",52:1b:81:c4:07:73,-79,CYTA899626,"Admin OUI"
"2015-10-01 17:50:26.735599",52:1b:81:c4:07:73,-79,"Cytanet Wireless Zone","Admin OUI"
"2015-10-01 17:50:26.756954",52:1b:81:c4:07:73,-79,MTN_WiFi,"Admin OUI"
"2015-10-01 17:50:26.773945",52:1b:81:c4:07:73,-79,"_Heathrow Wi-Fi","Admin OUI"
"2015-10-01 17:50:26.794841",52:1b:81:c4:07:73,-79,INTERNET,"Admin OUI"
"2015-10-01 17:50:26.816430",52:1b:81:c4:07:73,-79,BALoungeWiFi,"Admin OUI"
"2015-10-01 17:50:26.833704",52:1b:81:c4:07:73,-81,Chromecast6840,"Admin OUI"
"2015-10-01 17:50:26.855423",52:1b:81:c4:07:73,-83,CYTA899626,"Admin OUI"
"2015-10-01 17:50:26.875645",52:1b:81:c4:07:73,-81,"Cytanet Wireless Zone","Admin OUI"
"2015-10-01 17:50:26.897070",52:1b:81:c4:07:73,-79,MTN_WiFi,"Admin OUI"
"2015-10-01 17:50:26.921923",52:1b:81:c4:07:73,-81,"_Heathrow Wi-Fi","Admin OUI"
"2015-10-01 17:50:26.942934",52:1b:81:c4:07:73,-77,<None>,"Admin OUI"
"2015-10-01 17:50:30.780158",52:1b:81:c4:07:73,-79,<None>,"Admin OUI"
"2015-10-01 17:50:30.832587",52:1b:81:c4:07:73,-81,<None>,"Admin OUI"
"2015-10-01 17:50:40.518135",52:1b:81:c4:07:73,-79,<None>,"Admin OUI"
"2015-10-01 17:50:54.437110",be:cd:d1:d9:9b:e5,-77,<None>,"Admin OUI"
"2015-10-01 17:50:54.492345",be:cd:d1:d9:9b:e5,-79,<None>,"Admin OUI"
"2015-10-01 17:51:01.355340",34:bb:26:2c:36:2c,-81,<None>,Error
"2015-10-01 17:51:13.809487",be:cd:d1:d9:9b:e5,-77,<None>,"Admin OUI"
"2015-10-01 17:51:33.131395",be:cd:d1:d9:9b:e5,-79,<None>,"Admin OUI"
"2015-10-01 17:51:33.187147",be:cd:d1:d9:9b:e5,-77,<None>,"Admin OUI"
"2015-10-01 17:51:36.315531",be:e2:71:6c:2d:b3,-57,<None>,"Admin OUI"
"2015-10-01 17:51:36.520808",42:a4:10:5c:53:66,-61,<None>,"Admin OUI"
"2015-10-01 17:51:38.608521",62:65:0a:6f:65:b7,-79,WAAV,"Admin OUI"
"2015-10-01 17:51:38.630147",62:65:0a:6f:65:b7,-77,Bug_Jar,"Admin OUI"
"2015-10-01 17:51:38.650821",62:65:0a:6f:65:b7,-79,<None>,"Admin OUI"
"2015-10-01 17:51:54.436889",38:48:4c:82:59:1d,-81,<None>,Apple
"2015-10-01 17:52:00.412030",30:d6:c9:94:50:24,-81,<None>,"Samsung Electronics Co.,Ltd"
"2015-10-01 17:52:01.875679",3e:df:66:fc:0f:a7,-81,<None>,"Admin OUI"
"2015-10-01 17:52:07.471129",be:cd:d1:d9:9b:e5,-79,<None>,"Admin OUI"
"2015-10-01 17:52:07.525446",be:cd:d1:d9:9b:e5,-77,<None>,"Admin OUI"
"2015-10-01 17:52:41.854834",be:cd:d1:d9:9b:e5,-79,<None>,"Admin OUI"
"2015-10-01 17:52:44.894547",84:38:35:63:31:66,-81,<None>,Error
"2015-10-01 17:52:57.463161",50:55:27:cd:c2:e5,-81,<None>,Error
"2015-10-01 17:52:58.777522",84:38:35:63:31:66,-83,<None>,Apple
"2015-10-01 17:52:58.795595",84:38:35:63:31:66,-83,<None>,Apple
"2015-10-01 17:53:04.662741",be:cd:d1:d9:9b:e5,-79,INTERNET,"Admin OUI"
"2015-10-01 17:53:04.685276",be:cd:d1:d9:9b:e5,-79,BALoungeWiFi,"Admin OUI"
"2015-10-01 17:53:04.706372",be:cd:d1:d9:9b:e5,-79,CYTA899626,"Admin OUI"
"2015-10-01 17:53:04.724555",be:cd:d1:d9:9b:e5,-79,"Cytanet Wireless Zone","Admin OUI"
"2015-10-01 17:53:04.745817",be:cd:d1:d9:9b:e5,-79,MTN_WiFi,"Admin OUI"
"2015-10-01 17:53:04.772077",be:cd:d1:d9:9b:e5,-77,"_Heathrow Wi-Fi","Admin OUI"
"2015-10-01 17:53:04.793605",be:cd:d1:d9:9b:e5,-79,INTERNET,"Admin OUI"
"2015-10-01 17:53:04.815108",be:cd:d1:d9:9b:e5,-79,CYTA899626,"Admin OUI"
"2015-10-01 17:53:04.836143",be:cd:d1:d9:9b:e5,-81,"Cytanet Wireless Zone","Admin OUI"
"2015-10-01 17:53:04.854110",be:cd:d1:d9:9b:e5,-81,"_Heathrow Wi-Fi","Admin OUI"
"2015-10-01 17:53:04.874795",be:cd:d1:d9:9b:e5,-79,<None>,"Admin OUI"
"2015-10-01 17:53:08.804348",be:cd:d1:d9:9b:e5,-81,<None>,"Admin OUI"
"2015-10-01 17:53:08.859510",be:cd:d1:d9:9b:e5,-79,<None>,"Admin OUI"
"2015-10-01 17:53:18.137436",be:cd:d1:d9:9b:e5,-77,<None>,"Admin OUI"
"2015-10-01 17:53:18.192614",be:cd:d1:d9:9b:e5,-79,<None>,"Admin OUI"
"2015-10-01 17:53:22.755058",72:34:63:1e:ad:72,-83,<None>,"Admin OUI"
"2015-10-01 17:53:26.766957",84:38:35:63:31:66,-81,<None>,Apple
"2015-10-01 17:53:35.898468",f4:37:b7:d0:df:77,-83,ArkMedia,Apple
"2015-10-01 17:53:51.314959",be:e2:71:6c:2d:b3,-55,<None>,"Admin OUI"
"2015-10-01 17:53:51.483820",42:a4:10:5c:53:66,-63,<None>,"Admin OUI"
"2015-10-01 17:53:51.844822",be:cd:d1:d9:9b:e5,-79,<None>,"Admin OUI"
"2015-10-01 17:53:59.949051",1a:d5:b5:d9:65:d2,-81,<None>,"Admin OUI"
"2015-10-01 17:54:10.262181",e8:50:8b:0d:3b:31,-81,<None>,"Samsung Electro Mechanics co., LTD."
"2015-10-01 17:54:16.874087",3e:df:66:fc:0f:a7,-83,<None>,"Admin OUI"
"2015-10-01 17:54:16.895924",3e:df:66:fc:0f:a7,-81,<None>,"Admin OUI"
